Month,Factor,CPR,PSA,Wac,Wam,Wala,Balance
Aug,0.79006044,4.1,75,2.786,315,40,33825637611.21
Jul,0.79479927,4.5,75,2.787,316,39,34028525818.45
Jun,0.79942921,4.3,72,2.787,317,38,34226752010.61
May,0.80426816,4.6,76,2.787,318,37,34433926754.26
Apr,0.80880798,4.1,69,2.787,319,36,34628294549.89
Mar,0.81282265,4.1,69,2.787,320,35,34800178580.11
Feb,0.81629372,2.6,43,2.787,321,34,34948788926.87
Jan,0.81963494,2.4,39,2.787,322,33,35091839877.37
Dec,0.82338543,2.9,49,2.787,323,31,35252413308.44
Nov,0.82703311,3.1,46,2.787,324,30,35408585033.48
Oct,0.83107844,3.8,55,2.787,325,29,35581781740.56
Sep,0.83521492,4.3,52,2.787,326,28,35758880942.57
Aug,0.84001083,4.3,75,2.787,328,27,35964212972.2
Jul,0.84472409,4.3,75,2.787,329,26,36166003428.81
Jun,0.84982499,4.9,67,2.787,330,25,36384396293.39
May,0.85493658,4.7,61,2.787,331,24,36603243842.52
Apr,0.85939764,4.1,50,2.787,332,23,36794239608.52
Mar,0.86386209,4.1,49,2.787,333,22,36985380513.93
Feb,0.86735048,2.0,53,2.787,334,21,37134732398.04
Jan,0.87055363,2.1,46,2.787,335,20,37271872002.23
Dec,0.87427259,2.7,65,2.787,336,20,37431095528.28
Nov,0.87820175,3.0,75,2.787,337,19,37599318934.45
Oct,0.88279375,3.8,101,2.788,339,18,37795920363.94
Sep,0.88779224,4.4,121,2.788,340,17,38009925651.11
Aug,0.89331516,5.0,147,2.788,341,16,38246383877.77
Jul,0.89915756,5.4,168,2.788,342,15,38496520316.7
Jun,0.90601495,6.6,220,2.788,343,14,38790112524.86
May,0.91281289,6.5,231,2.788,344,13,39081159441.4
Apr,0.92009864,7.0,270,2.788,345,12,39309909144.8
Mar,0.92808104,7.8,324,2.789,346,11,39734849820.36
Feb,0.93471844,6.1,277,2.789,347,10,3901992379.39
Jan,0.94205437,6.9,345,2.789,349,9,4033277190.17
